# glossary_domain.tsv — 領域專名的「對話用」中譯
# 格式：原文<TAB>對話用中譯<TAB>備註（備註可省）
#
# ── 這張表跟 glossary.tsv 的差別 ──────────────────────────────
#
#   這些是 CONTEXT.md 定義的 ubiquitous language——同時也是程式碼、issue、ADR、
#   skill 原文裡的**識別名**。
#
#   規矩：**對話時用中譯**（首次出現標註原文）；
#         **CONTEXT.md／程式碼／ADR／issue／prompt 裡的識別名一律維持英文、不動。**
#
#   例：對話說「這條掛帳（followup）留給人決定要不要開票」；
#       但 CONTEXT.md 仍寫 `**Follow-up**`、skill 原文仍寫 `follow-up`。
#
#   這樣既滿足「與使用者互動一律中文」，又不砸掉領域模型——翻動識別名要付的代價是
#   重寫 CONTEXT.md、遷移所有 ADR／issue／prompt，且碼與文會跨語言脫鉤。見 ADR-0030、
#   ADR-0004。
#
# 譯名原則同 glossary.tsv：信、達、雅；避免字面直譯；近民國風。
#
# 新增／修改：改本檔、開 PR。**譯名以使用者在 PR 上核准為準。**

Entry skill	入口 skill	使用者直接喚起的那層薄殼
Reference skill	參照 skill	不直接喚起、供其他 skill 引用的內核
followup	掛帳	解釋型 review 抓到、但不值得為它擋下這張 PR 的欠項；開票與否由人決定
User-invoked	僅限使用者呼叫的	形容詞。frontmatter 有 disable-model-invocation: true、只有人打 /name 才會跑的 skill；README 分組標題維持英文。「僅限」點出與 Model-invoked 的對比（後者人也能打）
Model-invoked	模型可呼叫的	形容詞。無該旗標、人可打、模型判斷任務吻合亦會自行呼叫的 skill；README 分組標題維持英文
Spec	案卷	決定已做完、寫成文件長期留存的那一份（上游 to-spec 產物）；工單可拋、案卷留著。不作「規格」——那是技術規格書，此處是決策紀錄
Issue	工單	案卷拆出的一件可交辦工作：一張一場 session 一個 PR，做完結單。上游 skill 原文的 ticket 同義（CONTEXT.md：read ticket as Issue）。派生：案卷底下的工單（子票）、這張工單的案卷（母票）、卡住它的工單（blocker）
ticket	工單	上游 skill 原文的用字，即 Issue；譯名與派生同 Issue 條
Understanding gate	會意關卡	合併前由人把的那道關：能用自己的話說出這張 PR 改了什麼、為什麼、怎麼驗證才放行（ADR-0034：demo ＋ 手寫 PR 第一段，兩級）。不作「理解閘」——閘是水閘、理解是直搬；關卡才是中文說法
triage	甄別	對每張新進工單的第一輪處置：是什麼、能不能做、走哪條路；Triage role 即甄別角色。skill 名 triage 與標籤字串（待分類等）維持不動；skill 內 categorise（bug／enhancement）那步另作「歸類」
wayfinder	斥候	大案子起霧時先派出去、把路一段段探明畫成共用地圖的那支隊伍；只決策、不動工，路清了交給主力。skill 名與 wayfinder:* 標籤維持英文
Trunk	主幹	feature 分支從它開出、做完合回去的那條分支；各 repo 自有其名（本 repo 是 main、有的是 develop），規則裡以 {{trunk}} 佔位。不作 main（那是名字不是概念）、default branch（git-flow repo 兩者不同）、base branch（PR 用語，指單張 PR 的目標）
